grupo,idioma,numero,linea,pregunta_visible,pregunta_schema,respuesta_visible,respuesta_schema,pregunta_coincide,respuesta_coincide
HOME,es,3,1086,¿Puedo dejar el equipaje o mis cosas en la tienda durante el alquiler?,¿Puedo dejar el equipaje o mis cosas en la tienda durante el alquiler?,"Sí. Disponemos de consigna gratuita para maletas, zapatos, chaquetas y mochilas dentro de nuestra tienda supervisada.","Sí. Disponemos de consigna gratuita para maletas, zapatos, chaquetas y mochilas dentro de nuestra tienda supervisada.",SÍ,SÍ
HOME,es,4,1095,"¿Los patines en línea, las bicicletas, los patines de 4 ruedas, los skateboards y los longboards requieren depósito?","¿Los patines en línea, las bicicletas, los patines de 4 ruedas, los skateboards y los longboards requieren depósito?",No. Estos alquileres no requieren depósito. Solo necesitas un documento de identidad válido.,No. Estos alquileres no requieren depósito. Solo necesitas un documento de identidad válido.,SÍ,SÍ
HOME,es,5,1104,¿Necesito carnet de conducir para alquilar un scooter en Barcelona?,¿Necesito carnet de conducir para alquilar un scooter en Barcelona?,"Sí. Necesitas un carnet de conducir válido. Para los scooters de 125cc hace falta el carnet B con al menos 3 años de antigüedad, o el permiso de moto correspondiente.","Sí. Necesitas un carnet de conducir válido. Para los scooters de 125cc hace falta el carnet B con al menos 3 años de antigüedad, o el permiso de moto correspondiente.",SÍ,SÍ
HOME,es,6,1113,¿Están incluidos los cascos y las protecciones en el precio?,¿Están incluidos los cascos y las protecciones en el precio?,"Sí. El alquiler de scooter incluye dos cascos. El alquiler de bicicleta incluye casco infantil. Los alquileres de patines en línea, patines de 4 ruedas, skateboard y longboard incluyen casco infantil, muñequeras, rodilleras y coderas.","Sí. El alquiler de scooter incluye dos cascos. El alquiler de bicicleta incluye casco infantil. Los alquileres de patines en línea, patines de 4 ruedas, skateboard y longboard incluyen casco infantil, muñequeras, rodilleras y coderas.",SÍ,SÍ
HOME,es,7,1122,¿Cuáles son las mejores zonas para usar patines en línea o scooter cerca de la tienda?,¿Cuáles son las mejores zonas para usar patines en línea o scooter cerca de la tienda?,"Vila Olímpica del Poblenou, Port Olímpic y la Barceloneta ofrecen algunas de las mejores rutas llanas cerca de nuestra tienda.","Vila Olímpica del Poblenou, Port Olímpic y la Barceloneta ofrecen algunas de las mejores rutas llanas cerca de nuestra tienda.",SÍ,SÍ
HOME,es,8,1131,¿Es posible devolver el scooter fuera del horario de la tienda?,¿Es posible devolver el scooter fuera del horario de la tienda?,Sí. Ofrecemos devoluciones de scooter fuera de horario. Contacta con nosotros con antelación.,Sí. Ofrecemos devoluciones de scooter fuera de horario. Contacta con nosotros con antelación.,SÍ,SÍ
HOME,es,9,1139,¿Qué métodos de pago aceptáis?,¿Qué métodos de pago aceptáis?,Aceptamos pago con tarjeta. PayPal también está disponible para pagos online.,Aceptamos pago con tarjeta. PayPal también está disponible para pagos online.,SÍ,SÍ
HOME,fr,1,1061,Où se trouve RSB Rental Scooter Barcelona ?,Où se trouve RSB Rental Scooter Barcelona ?,"Nous sommes à Vila Olímpica del Poblenou, Carrer de Salvador Espriu, 63, 08005 Barcelone, près de Port Olímpic et de la plage de la Barceloneta.","Nous sommes à Vila Olímpica del Poblenou, Carrer de Salvador Espriu, 63, 08005 Barcelone, près de Port Olímpic et de la plage de la Barceloneta.",SÍ,SÍ
HOME,fr,2,1070,Proposez-vous la livraison gratuite du scooter à l’hôtel ?,Proposez-vous la livraison gratuite du scooter à l’hôtel ?,Oui. La livraison gratuite du scooter à l’hôtel est incluse pour les locations de 3 jours ou plus à Barcelone. Contactez-nous pour confirmer la disponibilité.,Oui. La livraison gratuite du scooter à l’hôtel est incluse pour les locations de 3 jours ou plus à Barcelone. Contactez-nous pour confirmer la disponibilité.,SÍ,SÍ
HOME,fr,3,1079,Puis-je laisser mes bagages ou mes affaires à la boutique pendant la location ?,Puis-je laisser mes bagages ou mes affaires à la boutique pendant la location ?,"Oui. Une consigne gratuite pour les valises, chaussures, vestes et sacs à dos est disponible dans notre boutique surveillée.","Oui. Une consigne gratuite pour les valises, chaussures, vestes et sacs à dos est disponible dans notre boutique surveillée.",SÍ,SÍ
HOME,fr,4,1088,"Les rollers, les vélos, les rollers classiques, les skateboards et les longboards nécessitent-ils une caution ?","Les rollers, les vélos, les rollers classiques, les skateboards et les longboards nécessitent-ils une caution ?",Non. Ces locations ne nécessitent pas de caution. Vous avez seulement besoin d’une pièce d’identité valide.,Non. Ces locations ne nécessitent pas de caution. Vous avez seulement besoin d’une pièce d’identité valide.,SÍ,SÍ
HOME,fr,5,1097,Ai-je besoin d’un permis pour louer un scooter à Barcelone ?,Ai-je besoin d’un permis pour louer un scooter à Barcelone ?,"Oui. Un permis de conduire valide est nécessaire. Pour les scooters 125cc, il faut un permis B obtenu depuis au moins 3 ans, ou le permis moto correspondant.","Oui. Un permis de conduire valide est nécessaire. Pour les scooters 125cc, il faut un permis B obtenu depuis au moins 3 ans, ou le permis moto correspondant.",SÍ,SÍ
HOME,fr,6,1106,Les casques et les protections sont-ils inclus dans le prix ?,Les casques et les protections sont-ils inclus dans le prix ?,"Oui. La location de scooter comprend deux casques. La location de vélo comprend un casque pour enfant. Les locations de rollers en ligne, de rollers classiques, de skateboard et de longboard comprennent un casque pour enfant, des protège-poignets, des genouillères et des coudières.","Oui. La location de scooter comprend deux casques. La location de vélo comprend un casque pour enfant. Les locations de rollers en ligne, de rollers classiques, de skateboard et de longboard comprennent un casque pour enfant, des protège-poignets, des genouillères et des coudières.",SÍ,SÍ
HOME,fr,7,1115,Quels sont les meilleurs endroits pour utiliser des rollers en ligne ou un scooter près de la boutique ?,Quels sont les meilleurs endroits pour utiliser des rollers en ligne ou un scooter près de la boutique ?,"Vila Olímpica del Poblenou, Port Olímpic et la Barceloneta offrent parmi les meilleurs itinéraires plats près de notre boutique.","Vila Olímpica del Poblenou, Port Olímpic et la Barceloneta offrent parmi les meilleurs itinéraires plats près de notre boutique.",SÍ,SÍ
HOME,fr,8,1124,Est-il possible de rendre le scooter en dehors des horaires de la boutique ?,Est-il possible de rendre le scooter en dehors des horaires de la boutique ?,Oui. Nous proposons des retours de scooter en dehors des horaires. Contactez-nous à l’avance.,Oui. Nous proposons des retours de scooter en dehors des horaires. Contactez-nous à l’avance.,SÍ,SÍ
HOME,fr,9,1132,Quels moyens de paiement acceptez-vous ?,Quels moyens de paiement acceptez-vous ?,Nous acceptons les paiements par carte. PayPal est également disponible pour les paiements en ligne.,Nous acceptons les paiements par carte. PayPal est également disponible pour les paiements en ligne.,SÍ,SÍ
HOME,it,1,1066,Dove si trova RSB Rental Scooter Barcelona?,Dove si trova RSB Rental Scooter Barcelona?,"Siamo a Vila Olímpica del Poblenou, Carrer de Salvador Espriu, 63, 08005 Barcellona, vicino a Port Olímpic e alla spiaggia della Barceloneta.","Siamo a Vila Olímpica del Poblenou, Carrer de Salvador Espriu, 63, 08005 Barcellona, vicino a Port Olímpic e alla spiaggia della Barceloneta.",SÍ,SÍ
HOME,it,2,1075,Offrite la consegna gratuita dello scooter in hotel?,Offrite la consegna gratuita dello scooter in hotel?,Sì. La consegna gratuita dello scooter in hotel è inclusa per noleggi di 3 giorni o più a Barcellona. Contattaci per confermare la disponibilità.,Sì. La consegna gratuita dello scooter in hotel è inclusa per noleggi di 3 giorni o più a Barcellona. Contattaci per confermare la disponibilità.,SÍ,SÍ
HOME,it,3,1084,Posso lasciare bagagli o effetti personali in negozio durante il noleggio?,Posso lasciare bagagli o effetti personali in negozio durante il noleggio?,"Sì. Disponiamo di deposito gratuito per valigie, scarpe, giacche e zaini all’interno del nostro negozio sorvegliato.","Sì. Disponiamo di deposito gratuito per valigie, scarpe, giacche e zaini all’interno del nostro negozio sorvegliato.",SÍ,SÍ
HOME,it,4,1093,"Pattini in linea, biciclette, pattini a rotelle, skateboard e longboard richiedono un deposito?","Pattini in linea, biciclette, pattini a rotelle, skateboard e longboard richiedono un deposito?",No. Questi noleggi non richiedono deposito. Ti serve solo un documento d’identità valido.,No. Questi noleggi non richiedono deposito. Ti serve solo un documento d’identità valido.,SÍ,SÍ
HOME,it,5,1102,Ho bisogno della patente per noleggiare uno scooter a Barcellona?,Ho bisogno della patente per noleggiare uno scooter a Barcellona?,"Sì. È necessaria una patente valida. Per gli scooter 125cc serve la patente B da almeno 3 anni, oppure la patente moto corrispondente.","Sì. È necessaria una patente valida. Per gli scooter 125cc serve la patente B da almeno 3 anni, oppure la patente moto corrispondente.",SÍ,SÍ
HOME,it,6,1111,Caschi e protezioni sono inclusi nel prezzo?,Caschi e protezioni sono inclusi nel prezzo?,"Sì. Il noleggio scooter include due caschi. Il noleggio bici include un casco per bambini. I noleggi di pattini in linea, pattini a rotelle, skateboard e longboard includono un casco per bambini, polsiere, ginocchiere e gomitiere.","Sì. Il noleggio scooter include due caschi. Il noleggio bici include un casco per bambini. I noleggi di pattini in linea, pattini a rotelle, skateboard e longboard includono un casco per bambini, polsiere, ginocchiere e gomitiere.",SÍ,SÍ
HOME,it,7,1120,Quali sono le migliori zone per usare pattini in linea o scooter vicino al negozio?,Quali sono le migliori zone per usare pattini in linea o scooter vicino al negozio?,"Vila Olímpica del Poblenou, Port Olímpic e la Barceloneta offrono alcuni dei migliori percorsi pianeggianti vicino al nostro negozio.","Vila Olímpica del Poblenou, Port Olímpic e la Barceloneta offrono alcuni dei migliori percorsi pianeggianti vicino al nostro negozio.",SÍ,SÍ
HOME,it,8,1129,È possibile restituire lo scooter fuori dagli orari del negozio?,È possibile restituire lo scooter fuori dagli orari del negozio?,Sì. Offriamo la restituzione dello scooter fuori orario. Contattaci in anticipo.,Sì. Offriamo la restituzione dello scooter fuori orario. Contattaci in anticipo.,SÍ,SÍ
HOME,it,9,1137,Quali metodi di pagamento accettate?,Quali metodi di pagamento accettate?,Accettiamo pagamenti con carta. PayPal è disponibile anche per i pagamenti online.,Accettiamo pagamenti con carta. PayPal è disponibile anche per i pagamenti online.,SÍ,SÍ
HOME,de,1,1059,Wo befindet sich RSB Rental Scooter Barcelona?,Wo befindet sich RSB Rental Scooter Barcelona?,"Wir sind in Vila Olímpica del Poblenou, Carrer de Salvador Espriu, 63, 08005 Barcelona, nahe Port Olímpic und dem Strand Barceloneta.","Wir sind in Vila Olímpica del Poblenou, Carrer de Salvador Espriu, 63, 08005 Barcelona, nahe Port Olímpic und dem Strand Barceloneta.",SÍ,SÍ
HOME,de,2,1068,Bietet ihr kostenlose Hotelzustellung für den Scooter an?,Bietet ihr kostenlose Hotelzustellung für den Scooter an?,"Ja. Die kostenlose Hotelzustellung des Scooters ist bei Mieten ab 3 Tagen in Barcelona inklusive. Kontaktiere uns, um die Verfügbarkeit zu bestätigen.","Ja. Die kostenlose Hotelzustellung des Scooters ist bei Mieten ab 3 Tagen in Barcelona inklusive. Kontaktiere uns, um die Verfügbarkeit zu bestätigen.",SÍ,SÍ
HOME,de,3,1077,Kann ich mein Gepäck oder persönliche Sachen während der Miete im Shop lassen?,Kann ich mein Gepäck oder persönliche Sachen während der Miete im Shop lassen?,"Ja. In unserem beaufsichtigten Shop gibt es kostenlose Gepäckaufbewahrung für Koffer, Schuhe, Jacken und Rucksäcke.","Ja. In unserem beaufsichtigten Shop gibt es kostenlose Gepäckaufbewahrung für Koffer, Schuhe, Jacken und Rucksäcke.",SÍ,SÍ
HOME,de,4,1086,"Benötigen Inlineskates, Fahrräder, Rollschuhe, Skateboards und Longboards eine Kaution?","Benötigen Inlineskates, Fahrräder, Rollschuhe, Skateboards und Longboards eine Kaution?",Nein. Für diese Mieten ist keine Kaution nötig. Du brauchst nur einen gültigen Ausweis.,Nein. Für diese Mieten ist keine Kaution nötig. Du brauchst nur einen gültigen Ausweis.,SÍ,SÍ
HOME,de,5,1095,"Brauche ich einen Führerschein, um in Barcelona einen Scooter zu mieten?","Brauche ich einen Führerschein, um in Barcelona einen Scooter zu mieten?",Ja. Du benötigst einen gültigen Führerschein. Für 125cc-Scooter brauchst du den Führerschein Klasse B seit mindestens 3 Jahren oder den entsprechenden Motorradführerschein.,Ja. Du benötigst einen gültigen Führerschein. Für 125cc-Scooter brauchst du den Führerschein Klasse B seit mindestens 3 Jahren oder den entsprechenden Motorradführerschein.,SÍ,SÍ
HOME,de,6,1104,Sind Helme und Schutzausrüstung im Preis enthalten?,Sind Helme und Schutzausrüstung im Preis enthalten?,"Ja. Bei der Scootermiete sind zwei Helme enthalten. Bei der Fahrradmiete ist ein Kinderhelm enthalten. Bei der Miete von Inlineskates, Rollschuhen, Skateboards und Longboards sind ein Kinderhelm, Handgelenkschoner, Knieschoner und Ellbogenschoner enthalten.","Ja. Bei der Scootermiete sind zwei Helme enthalten. Bei der Fahrradmiete ist ein Kinderhelm enthalten. Bei der Miete von Inlineskates, Rollschuhen, Skateboards und Longboards sind ein Kinderhelm, Handgelenkschoner, Knieschoner und Ellbogenschoner enthalten.",SÍ,SÍ
HOME,de,7,1113,"Wo sind die besten Orte, um Inlineskates oder Scooter in der Nähe des Shops zu nutzen?","Wo sind die besten Orte, um Inlineskates oder Scooter in der Nähe des Shops zu nutzen?","Vila Olímpica del Poblenou, Port Olímpic und Barceloneta bieten einige der besten flachen Routen in der Nähe unseres Shops.","Vila Olímpica del Poblenou, Port Olímpic und Barceloneta bieten einige der besten flachen Routen in der Nähe unseres Shops.",SÍ,SÍ
HOME,de,8,1123,Kann ich den Scooter außerhalb der Öffnungszeiten zurückgeben?,Kann ich den Scooter außerhalb der Öffnungszeiten zurückgeben?,Ja. Wir bieten die Rückgabe von Scootern außerhalb der Öffnungszeiten an. Kontaktiere uns im Voraus.,Ja. Wir bieten die Rückgabe von Scootern außerhalb der Öffnungszeiten an. Kontaktiere uns im Voraus.,SÍ,SÍ
HOME,de,9,1131,Welche Zahlungsmethoden akzeptiert ihr?,Welche Zahlungsmethoden akzeptiert ihr?,Wir akzeptieren Kartenzahlung. PayPal ist auch für Online-Zahlungen verfügbar.,Wir akzeptieren Kartenzahlung. PayPal ist auch für Online-Zahlungen verfügbar.,SÍ,SÍ
HOME,nl,1,1073,Waar ligt RSB Rental Scooter Barcelona?,Waar ligt RSB Rental Scooter Barcelona?,"We zitten in Vila Olímpica del Poblenou, aan Carrer de Salvador Espriu, 63, 08005 Barcelona, dicht bij Port Olímpic en het strand van Barceloneta.","We zitten in Vila Olímpica del Poblenou, aan Carrer de Salvador Espriu, 63, 08005 Barcelona, dicht bij Port Olímpic en het strand van Barceloneta.",SÍ,SÍ
HOME,nl,2,1082,Bieden jullie gratis scooterbezorging bij het hotel aan?,Bieden jullie gratis scooterbezorging bij het hotel aan?,Ja. Gratis scooterbezorging bij het hotel is inbegrepen voor huurperiodes van 3 dagen of langer in Barcelona. Neem contact op om de beschikbaarheid te bevestigen.,Ja. Gratis scooterbezorging bij het hotel is inbegrepen voor huurperiodes van 3 dagen of langer in Barcelona. Neem contact op om de beschikbaarheid te bevestigen.,SÍ,SÍ
HOME,nl,3,1091,Kan ik mijn bagage of spullen in de winkel laten tijdens de huur?,Kan ik mijn bagage of spullen in de winkel laten tijdens de huur?,"Ja. We hebben gratis bagageopslag voor koffers, schoenen, jassen en rugzakken in onze bewaakte winkel.","Ja. We hebben gratis bagageopslag voor koffers, schoenen, jassen en rugzakken in onze bewaakte winkel.",SÍ,SÍ
HOME,nl,4,1100,"Hebben inline skates, fietsen, rolschaatsen, skateboards en longboards een borg nodig?","Hebben inline skates, fietsen, rolschaatsen, skateboards en longboards een borg nodig?",Nee. Voor deze verhuur is geen borg nodig. Je hebt alleen een geldig identiteitsbewijs nodig.,Nee. Voor deze verhuur is geen borg nodig. Je hebt alleen een geldig identiteitsbewijs nodig.,SÍ,SÍ
HOME,nl,5,1109,Heb ik een rijbewijs nodig om in Barcelona een scooter te huren?,Heb ik een rijbewijs nodig om in Barcelona een scooter te huren?,"Ja. Je hebt een geldig rijbewijs nodig. Voor 125cc-scooters heb je een B-rijbewijs nodig dat je minstens 3 jaar hebt, of het bijbehorende motorrijbewijs.","Ja. Je hebt een geldig rijbewijs nodig. Voor 125cc-scooters heb je een B-rijbewijs nodig dat je minstens 3 jaar hebt, of het bijbehorende motorrijbewijs.",SÍ,SÍ
HOME,nl,6,1118,Zijn helmen en beschermers inbegrepen in de prijs?,Zijn helmen en beschermers inbegrepen in de prijs?,"Ja. Bij scooterhuur zijn twee helmen inbegrepen. Bij fietsverhuur is een kinderhelm inbegrepen. Bij de huur van inline skates, rolschaatsen, skateboards en longboards zijn een kinderhelm, polsbeschermers, kniebeschermers en elleboogbeschermers inbegrepen.","Ja. Bij scooterhuur zijn twee helmen inbegrepen. Bij fietsverhuur is een kinderhelm inbegrepen. Bij de huur van inline skates, rolschaatsen, skateboards en longboards zijn een kinderhelm, polsbeschermers, kniebeschermers en elleboogbeschermers inbegrepen.",SÍ,SÍ
HOME,nl,7,1127,Wat zijn de beste plekken om inline skates of een scooter te gebruiken in de buurt van de winkel?,Wat zijn de beste plekken om inline skates of een scooter te gebruiken in de buurt van de winkel?,"Vila Olímpica del Poblenou, Port Olímpic en Barceloneta bieden enkele van de beste vlakke routes vlak bij onze winkel.","Vila Olímpica del Poblenou, Port Olímpic en Barceloneta bieden enkele van de beste vlakke routes vlak bij onze winkel.",SÍ,SÍ
HOME,nl,8,1137,Kan ik de scooter buiten de openingstijden van de winkel terugbrengen?,Kan ik de scooter buiten de openingstijden van de winkel terugbrengen?,Ja. We bieden de mogelijkheid om scooters buiten de openingstijden terug te brengen. Neem vooraf contact met ons op.,Ja. We bieden de mogelijkheid om scooters buiten de openingstijden terug te brengen. Neem vooraf contact met ons op.,SÍ,SÍ
HOME,nl,9,1145,Welke betaalmethoden accepteren jullie?,Welke betaalmethoden accepteren jullie?,We accepteren kaartbetalingen. PayPal is ook beschikbaar voor online betalingen.,We accepteren kaartbetalingen. PayPal is ook beschikbaar voor online betalingen.,SÍ,SÍ
HOME,pt,1,1078,Onde fica a RSB Rental Scooter Barcelona?,Onde fica a RSB Rental Scooter Barcelona?,"Estamos em Vila Olímpica del Poblenou, na Carrer de Salvador Espriu, 63, 08005 Barcelona, perto de Port Olímpic e da praia da Barceloneta.","Estamos em Vila Olímpica del Poblenou, na Carrer de Salvador Espriu, 63, 08005 Barcelona, perto de Port Olímpic e da praia da Barceloneta.",SÍ,SÍ
HOME,pt,2,1087,Oferecem entrega gratuita do scooter no hotel?,Oferecem entrega gratuita do scooter no hotel?,Sim. A entrega gratuita do scooter no hotel está incluída para alugueres de 3 dias ou mais em Barcelona. Contacta-nos para confirmar disponibilidade.,Sim. A entrega gratuita do scooter no hotel está incluída para alugueres de 3 dias ou mais em Barcelona. Contacta-nos para confirmar disponibilidade.,SÍ,SÍ
HOME,pt,3,1096,Posso deixar bagagem ou os meus pertences na loja durante o aluguer?,Posso deixar bagagem ou os meus pertences na loja durante o aluguer?,"Sim. Dispomos de um serviço gratuito de guarda de bagagem para malas, sapatos, casacos e mochilas dentro da nossa loja supervisionada.","Sim. Dispomos de um serviço gratuito de guarda de bagagem para malas, sapatos, casacos e mochilas dentro da nossa loja supervisionada.",SÍ,SÍ
HOME,pt,4,1105,"Os patins em linha, bicicletas, patins de 4 rodas, skateboards e longboards exigem depósito?","Os patins em linha, bicicletas, patins de 4 rodas, skateboards e longboards exigem depósito?",Não. Estes alugueres não exigem depósito. Só precisas de um documento de identificação válido.,Não. Estes alugueres não exigem depósito. Só precisas de um documento de identificação válido.,SÍ,SÍ
HOME,pt,5,1114,Preciso de carta de condução para alugar um scooter em Barcelona?,Preciso de carta de condução para alugar um scooter em Barcelona?,"Sim. Precisas de uma carta de condução válida. Para scooters de 125cc é necessária carta B com pelo menos 3 anos, ou a carta de mota correspondente.","Sim. Precisas de uma carta de condução válida. Para scooters de 125cc é necessária carta B com pelo menos 3 anos, ou a carta de mota correspondente.",SÍ,SÍ
HOME,pt,6,1123,Os capacetes e as proteções estão incluídos no preço?,Os capacetes e as proteções estão incluídos no preço?,"Sim. O aluguer de scooter inclui dois capacetes. O aluguer de bicicleta inclui capacete infantil. Os alugueres de patins em linha, patins de 4 rodas, skateboard e longboard incluem capacete infantil, proteções de pulso, joelheiras e cotoveleiras.","Sim. O aluguer de scooter inclui dois capacetes. O aluguer de bicicleta inclui capacete infantil. Os alugueres de patins em linha, patins de 4 rodas, skateboard e longboard incluem capacete infantil, proteções de pulso, joelheiras e cotoveleiras.",SÍ,SÍ
HOME,pt,7,1132,Quais são as melhores zonas para usar patins em linha ou scooter perto da loja?,Quais são as melhores zonas para usar patins em linha ou scooter perto da loja?,"Vila Olímpica del Poblenou, Port Olímpic e Barceloneta oferecem alguns dos melhores percursos planos perto da nossa loja.","Vila Olímpica del Poblenou, Port Olímpic e Barceloneta oferecem alguns dos melhores percursos planos perto da nossa loja.",SÍ,SÍ
HOME,pt,8,1141,É possível devolver o scooter fora do horário da loja?,É possível devolver o scooter fora do horário da loja?,Sim. Oferecemos devoluções de scooter fora do horário. Fale connosco com antecedência.,Sim. Oferecemos devoluções de scooter fora do horário. Fale connosco com antecedência.,SÍ,SÍ
HOME,pt,9,1150,Que métodos de pagamento aceitam?,Que métodos de pagamento aceitam?,Aceitamos pagamentos com cartão. O PayPal também está disponível para pagamentos online.,Aceitamos pagamentos com cartão. O PayPal também está disponível para pagamentos online.,SÍ,SÍ
HOME,ca,1,1066,On és RSB Rental Scooter Barcelona?,On és RSB Rental Scooter Barcelona?,"Som a Vila Olímpica del Poblenou, al Carrer de Salvador Espriu, 63, 08005 Barcelona, a prop de Port Olímpic i de la platja de la Barceloneta.","Som a Vila Olímpica del Poblenou, al Carrer de Salvador Espriu, 63, 08005 Barcelona, a prop de Port Olímpic i de la platja de la Barceloneta.",SÍ,SÍ
HOME,ca,2,1075,Oferiu lliurament gratuït del scooter a l’hotel?,Oferiu lliurament gratuït del scooter a l’hotel?,Sí. El lliurament gratuït del scooter a l’hotel està inclòs per a lloguers de 3 dies o més a Barcelona. Contacta’ns per confirmar disponibilitat.,Sí. El lliurament gratuït del scooter a l’hotel està inclòs per a lloguers de 3 dies o més a Barcelona. Contacta’ns per confirmar disponibilitat.,SÍ,SÍ
HOME,ca,3,1084,Puc deixar l’equipatge o les meves coses a la botiga durant el lloguer?,Puc deixar l’equipatge o les meves coses a la botiga durant el lloguer?,"Sí. Disposem de servei gratuït de guarda d’equipatge per a maletes, sabates, jaquetes i motxilles dins de la nostra botiga supervisada.","Sí. Disposem de servei gratuït de guarda d’equipatge per a maletes, sabates, jaquetes i motxilles dins de la nostra botiga supervisada.",SÍ,SÍ
HOME,ca,4,1093,"Els patins en línia, les bicicletes, els patins de quatre rodes, els skateboards i els longboards requereixen dipòsit?","Els patins en línia, les bicicletes, els patins de quatre rodes, els skateboards i els longboards requereixen dipòsit?",No. Aquests lloguers no requereixen dipòsit. Només necessites un document d’identitat vàlid.,No. Aquests lloguers no requereixen dipòsit. Només necessites un document d’identitat vàlid.,SÍ,SÍ
HOME,ca,5,1102,Necessito carnet de conduir per llogar un scooter a Barcelona?,Necessito carnet de conduir per llogar un scooter a Barcelona?,"Sí. Necessites un carnet de conduir vàlid. Per als scooters de 125cc cal el carnet B amb almenys 3 anys d’antiguitat, o el permís de moto corresponent.","Sí. Necessites un carnet de conduir vàlid. Per als scooters de 125cc cal el carnet B amb almenys 3 anys d’antiguitat, o el permís de moto corresponent.",SÍ,SÍ
HOME,ca,6,1111,Els cascos i les proteccions estan inclosos en el preu?,Els cascos i les proteccions estan inclosos en el preu?,"Sí. El lloguer de scooter inclou dos cascos. El lloguer de bicicleta inclou casc infantil. Els lloguers de patins en línia, patins de 4 rodes, skateboard i longboard inclouen casc infantil, canelleres, genolleres i colzeres.","Sí. El lloguer de scooter inclou dos cascos. El lloguer de bicicleta inclou casc infantil. Els lloguers de patins en línia, patins de 4 rodes, skateboard i longboard inclouen casc infantil, canelleres, genolleres i colzeres.",SÍ,SÍ
