grupo,idioma,linea,schema_completo,tarjeta_visible,autor_visible,texto_coincide,fecha_visible_si_schema
HOME,it,1203,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/it/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Veronica Geluardi""},""datePublished"":""2019-11-21"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Molto gentili!!!! Natalia supersimpatica e il tratto eccezionale😊!!e i prezzi molto buoni!!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1203,""text"":""★★★★★ “Molto gentili!!!! Natalia supersimpatica e il tratto eccezionale😊!!e i prezzi molto buoni!!” Veronica Geluardi · Recensione Google · 2019-11-21"",""links"":[]}",SÍ,SÍ,SÍ
HOME,it,1204,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/it/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Diego Salerno""},""datePublished"":""2026-06-02"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Esperienza eccellente, non esitate a venire, residenti e turisti ❤️ un negozio di sempre che non delude.\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1204,""text"":""★★★★★ “Esperienza eccellente, non esitate a venire, residenti e turisti ❤️ un negozio di sempre che non delude.” Diego Salerno · Recensione Google · 2026-06-02"",""links"":[]}",SÍ,SÍ,SÍ
HOME,de,1195,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/de/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Michel new technology""},""datePublished"":""2020-09-24"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""„Die Verkäuferin war sehr nett und lustig. Wir kommen nächstes Jahr wieder und werden den Laden all unseren Freunden und unserer Familie empfehlen. Vielen Dank für die Hilfe, die Empfehlungen und die angenehme Freundlichkeit! Gute Preise und guter Service.“\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1195,""text"":""★★★★★ „Die Verkäuferin war sehr nett und lustig. Wir kommen nächstes Jahr wieder und werden den Laden all unseren Freunden und unserer Familie empfehlen. Vielen Dank für die Hilfe, die Empfehlungen und die angenehme Freundlichkeit! Gute Preise und guter Service.“ Michel new technology Google-Bewertung · 2020-09-24"",""links"":[]}",SÍ,SÍ,SÍ
HOME,de,1201,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/de/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""TheDoctorIsIn""},""datePublished"":""2018-10-11"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""„Schnell und unkompliziert! Wenig Papierkram und sonntags geöffnet. Fahrräder, Scooter, Skateboards, Inlineskates. Der kleine Laden hat alles!“\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1201,""text"":""★★★★★ „Schnell und unkompliziert! Wenig Papierkram und sonntags geöffnet. Fahrräder, Scooter, Skateboards, Inlineskates. Der kleine Laden hat alles!“ TheDoctorIsIn Google-Bewertung · 2018-10-11"",""links"":[]}",SÍ,SÍ,SÍ
HOME,de,1207,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/de/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Petrus Shaal""},""datePublished"":""2021-10-13"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""„Vielen Dank! Wir waren sehr zufrieden!“\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1207,""text"":""★★★★★ „Vielen Dank! Wir waren sehr zufrieden!“ Petrus Shaal Google-Bewertung · 2021-10-13"",""links"":[]}",SÍ,SÍ,SÍ
HOME,nl,1209,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/nl/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""sofie van santen""},""datePublished"":""2024-07-29"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Hele aardige eigenaresse!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1209,""text"":""★★★★★ “Hele aardige eigenaresse!” sofie van santen Google-review · 2024-07-29"",""links"":[]}",SÍ,SÍ,SÍ
HOME,nl,1215,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/nl/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""TheDoctorIsIn""},""datePublished"":""2018-10-11"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Snel en eenvoudig! Weinig papierwerk en open op zondag. Fietsen, scooters, skateboards, inline skates. De kleine winkel heeft alles!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1215,""text"":""★★★★★ “Snel en eenvoudig! Weinig papierwerk en open op zondag. Fietsen, scooters, skateboards, inline skates. De kleine winkel heeft alles!” TheDoctorIsIn Google-review · 2018-10-11"",""links"":[]}",SÍ,SÍ,SÍ
HOME,nl,1221,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/nl/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Petrus Shaal""},""datePublished"":""2021-10-13"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Heel erg bedankt! We waren zeer tevreden!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1221,""text"":""★★★★★ “Heel erg bedankt! We waren zeer tevreden!” Petrus Shaal Google-review · 2021-10-13"",""links"":[]}",SÍ,SÍ,SÍ
HOME,pt,1214,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/pt/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Ester Casacuberta""},""datePublished"":""2025-07-15"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""E S P E C T A C U L A R !\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1214,""text"":""★★★★★ “E S P E C T A C U L A R !” Ester Casacuberta Avaliação Google · 2025-07-15"",""links"":[]}",SÍ,SÍ,SÍ
HOME,pt,1220,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/pt/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""TheDoctorIsIn""},""datePublished"":""2018-10-11"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Rápido e fácil! Pouca burocracia e aberto aos domingos. Bicicletas, scooters, skates, patins em linha. A pequena loja tem tudo!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1220,""text"":""★★★★★ “Rápido e fácil! Pouca burocracia e aberto aos domingos. Bicicletas, scooters, skates, patins em linha. A pequena loja tem tudo!” TheDoctorIsIn Avaliação Google · 2018-10-11"",""links"":[]}",SÍ,SÍ,SÍ
HOME,pt,1226,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/pt/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Petrus Shaal""},""datePublished"":""2021-10-13"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Muito obrigado! Ficámos muito satisfeitos!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1226,""text"":""★★★★★ “Muito obrigado! Ficámos muito satisfeitos!” Petrus Shaal Avaliação Google · 2021-10-13"",""links"":[]}",SÍ,SÍ,SÍ
HOME,ca,1201,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/cat/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Michel new technology""},""datePublished"":""2020-09-24"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""L’assistent de la botiga era molt agradable i divertit. Tornarem l’any que ve i ho recomanarem a tots els nostres amics i familiars. Moltes gràcies per l’ajuda, per les recomanacions i per l’amabilitat! Bons preus i bona atenció.\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1201,""text"":""★★★★★ “L’assistent de la botiga era molt agradable i divertit. Tornarem l’any que ve i ho recomanarem a tots els nostres amics i familiars. Moltes gràcies per l’ajuda, per les recomanacions i per l’amabilitat! Bons preus i bona atenció.” Michel new technology Ressenya de Google · 2020-09-24"",""links"":[]}",SÍ,SÍ,SÍ
HOME,ca,1207,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/cat/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""TheDoctorIsIn""},""datePublished"":""2018-10-11"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Ràpid i fàcil! Poca paperassa i obert els diumenges. Bicicletes, scooters, monopatins i patins en línia. La petita botiga ho té tot!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1207,""text"":""★★★★★ “Ràpid i fàcil! Poca paperassa i obert els diumenges. Bicicletes, scooters, monopatins i patins en línia. La petita botiga ho té tot!” TheDoctorIsIn Ressenya de Google · 2018-10-11"",""links"":[]}",SÍ,SÍ,SÍ
HOME,ca,1213,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/cat/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Laura Ruiz""},""datePublished"":""2025-11-16"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Una super experiència, l’Oscar és un gran professional que ens ha tractat excel.lent i ens ha ajudat molt. Molt bé de preu en comparació amb altres del voltant. Recomanem!!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1213,""text"":""★★★★★ “Una super experiència, l’Oscar és un gran professional que ens ha tractat excel.lent i ens ha ajudat molt. Molt bé de preu en comparació amb altres del voltant. Recomanem!!” Laura Ruiz Ressenya de Google · 2025-11-16"",""links"":[]}",SÍ,SÍ,SÍ
HOME,sv,1211,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/sv/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Michel new technology""},""datePublished"":""2020-09-24"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Butiksbiträdet var mycket trevligt och roligt. Vi kommer tillbaka nästa år och kommer att rekommendera stället till alla våra vänner och släktingar. Tack så mycket för hjälpen, rekommendationerna och det vänliga bemötandet! Bra priser och bra service.\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1211,""text"":""★★★★★ “Butiksbiträdet var mycket trevligt och roligt. Vi kommer tillbaka nästa år och kommer att rekommendera stället till alla våra vänner och släktingar. Tack så mycket för hjälpen, rekommendationerna och det vänliga bemötandet! Bra priser och bra service.” Michel new technology Google-recension · 2020-09-24"",""links"":[]}",SÍ,SÍ,SÍ
HOME,sv,1217,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/sv/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""TheDoctorIsIn""},""datePublished"":""2018-10-11"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Snabbt och enkelt! Lite pappersarbete och öppet på söndagar. Cyklar, scootrar, skateboards och inlines. Den lilla butiken har allt!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1217,""text"":""★★★★★ “Snabbt och enkelt! Lite pappersarbete och öppet på söndagar. Cyklar, scootrar, skateboards och inlines. Den lilla butiken har allt!” TheDoctorIsIn Google-recension · 2018-10-11"",""links"":[]}",SÍ,SÍ,SÍ
HOME,sv,1223,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/sv/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Laura Ruiz""},""datePublished"":""2025-11-16"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""En fantastisk upplevelse. Oscar är mycket professionell, behandlade oss utmärkt och hjälpte oss mycket. Mycket bra pris jämfört med andra i närheten. Vi rekommenderar stället!!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1223,""text"":""★★★★★ “En fantastisk upplevelse. Oscar är mycket professionell, behandlade oss utmärkt och hjälpte oss mycket. Mycket bra pris jämfört med andra i närheten. Vi rekommenderar stället!!” Laura Ruiz Google-recension · 2025-11-16"",""links"":[]}",SÍ,SÍ,SÍ
HOME,pl,1199,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/pl/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Michel new technology""},""datePublished"":""2020-09-24"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Pracownik sklepu był bardzo miły i zabawny. Wrócimy w przyszłym roku i polecimy to miejsce wszystkim naszym znajomym i rodzinie. Bardzo dziękujemy za pomoc, rekomendacje i życzliwość! Dobre ceny i dobra obsługa.\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1199,""text"":""★★★★★ “Pracownik sklepu był bardzo miły i zabawny. Wrócimy w przyszłym roku i polecimy to miejsce wszystkim naszym znajomym i rodzinie. Bardzo dziękujemy za pomoc, rekomendacje i życzliwość! Dobre ceny i dobra obsługa.” Michel new technology Opinia Google · 2020-09-24"",""links"":[]}",SÍ,SÍ,SÍ
HOME,pl,1205,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/pl/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""TheDoctorIsIn""},""datePublished"":""2018-10-11"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Szybko i łatwo! Mało formalności i otwarte w niedziele. Rowery, skutery, deskorolki i rolki. Ten mały sklep ma wszystko!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1205,""text"":""★★★★★ “Szybko i łatwo! Mało formalności i otwarte w niedziele. Rowery, skutery, deskorolki i rolki. Ten mały sklep ma wszystko!” TheDoctorIsIn Opinia Google · 2018-10-11"",""links"":[]}",SÍ,SÍ,SÍ
HOME,pl,1211,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/pl/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Laura Ruiz""},""datePublished"":""2025-11-16"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Świetne doświadczenie. Oscar jest znakomitym profesjonalistą, potraktował nas doskonale i bardzo nam pomógł. Bardzo dobra cena w porównaniu z innymi wypożyczalniami w okolicy. Polecamy!!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1211,""text"":""★★★★★ “Świetne doświadczenie. Oscar jest znakomitym profesjonalistą, potraktował nas doskonale i bardzo nam pomógł. Bardzo dobra cena w porównaniu z innymi wypożyczalniami w okolicy. Polecamy!!” Laura Ruiz Opinia Google · 2025-11-16"",""links"":[]}",SÍ,SÍ,SÍ
PRICES,en,1589,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/Prices/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Tony iL""},""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Nice people, good price and superb scooters!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""},""datePublished"":""2025-04-24""}","{""line"":1589,""text"":""★★★★★ “Nice people, good price and superb scooters!” — Tony iL Google review · 2025-04-24"",""links"":[]}",SÍ,SÍ,SÍ
PRICES,en,1595,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/Prices/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""elli Pe""},""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Renting a scooter was quick, uncomplicated and very cheap\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""},""datePublished"":""2023-07-23""}","{""line"":1595,""text"":""★★★★★ “Renting a scooter was quick, uncomplicated and very cheap” — elli Pe Google review · 2023-07-23"",""links"":[]}",SÍ,SÍ,SÍ
PRICES,en,1601,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/Prices/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Johnny Zara""},""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Very friendly people, super competitive prices and efficient scooters! I just recommend it! Thank you, a la próxima!!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""},""datePublished"":""2018-07-09""}","{""line"":1601,""text"":""★★★★★ “Very friendly people, super competitive prices and efficient scooters! I just recommend it! Thank you, a la próxima!!” — Johnny Zara Google review · 2018-07-09"",""links"":[]}",SÍ,SÍ,SÍ
