grupo,idioma,etiqueta,apertura_textual,cierre_textual,apertura_token,cierre_token,parser
PRICES,it,form,0,0,0,0,0
PRICES,it,table,0,0,0,0,0
PRICES,de,html,1,1,1,1,1
PRICES,de,head,1,1,1,1,1
PRICES,de,body,1,1,1,1,1
PRICES,de,header,1,1,1,1,1
PRICES,de,main,1,1,1,1,1
PRICES,de,nav,2,2,2,2,2
PRICES,de,section,12,12,12,12,12
PRICES,de,article,8,8,8,8,8
PRICES,de,footer,1,1,1,1,1
PRICES,de,form,0,0,0,0,0
PRICES,de,table,0,0,0,0,0
PRICES,nl,html,1,1,1,1,1
PRICES,nl,head,1,1,1,1,1
PRICES,nl,body,1,1,1,1,1
PRICES,nl,header,1,1,1,1,1
PRICES,nl,main,1,1,1,1,1
PRICES,nl,nav,2,2,2,2,2
PRICES,nl,section,12,12,12,12,12
PRICES,nl,article,8,8,8,8,8
PRICES,nl,footer,1,1,1,1,1
PRICES,nl,form,0,0,0,0,0
PRICES,nl,table,0,0,0,0,0
PRICES,pt,html,1,1,1,1,1
PRICES,pt,head,1,1,1,1,1
PRICES,pt,body,1,1,1,1,1
PRICES,pt,header,1,1,1,1,1
PRICES,pt,main,1,1,1,1,1
PRICES,pt,nav,2,2,2,2,2
PRICES,pt,section,12,12,12,12,12
PRICES,pt,article,8,8,8,8,8
PRICES,pt,footer,1,1,1,1,1
PRICES,pt,form,0,0,0,0,0
PRICES,pt,table,0,0,0,0,0
PRICES,ca,html,1,1,1,1,1
PRICES,ca,head,1,1,1,1,1
PRICES,ca,body,1,1,1,1,1
PRICES,ca,header,1,1,1,1,1
PRICES,ca,main,1,1,1,1,1
PRICES,ca,nav,2,2,2,2,2
PRICES,ca,section,12,12,12,12,12
PRICES,ca,article,8,8,8,8,8
PRICES,ca,footer,1,1,1,1,1
PRICES,ca,form,0,0,0,0,0
PRICES,ca,table,0,0,0,0,0
PRICES,sv,html,1,1,1,1,1
PRICES,sv,head,1,1,1,1,1
PRICES,sv,body,1,1,1,1,1
PRICES,sv,header,1,1,1,1,1
PRICES,sv,main,1,1,1,1,1
PRICES,sv,nav,2,2,2,2,2
PRICES,sv,section,12,12,12,12,12
PRICES,sv,article,8,8,8,8,8
PRICES,sv,footer,1,1,1,1,1
PRICES,sv,form,0,0,0,0,0
PRICES,sv,table,0,0,0,0,0
PRICES,pl,html,1,1,1,1,1
PRICES,pl,head,1,1,1,1,1
PRICES,pl,body,1,1,1,1,1
PRICES,pl,header,1,1,1,1,1
PRICES,pl,main,1,1,1,1,1
PRICES,pl,nav,2,2,2,2,2
PRICES,pl,section,12,12,12,12,12
PRICES,pl,article,8,8,8,8,8
PRICES,pl,footer,1,1,1,1,1
PRICES,pl,form,0,0,0,0,0
PRICES,pl,table,0,0,0,0,0
SCOOTER,en,html,1,1,1,1,1
SCOOTER,en,head,1,1,1,1,1
SCOOTER,en,body,1,1,1,1,1
SCOOTER,en,header,1,1,1,1,1
SCOOTER,en,main,1,1,1,1,1
SCOOTER,en,nav,2,2,2,2,2
SCOOTER,en,section,12,12,12,12,12
SCOOTER,en,article,20,20,20,20,20
SCOOTER,en,footer,1,1,1,1,1
SCOOTER,en,form,0,0,0,0,0
SCOOTER,en,table,0,0,0,0,0
SCOOTER,es,html,1,1,1,1,1
SCOOTER,es,head,1,1,1,1,1
SCOOTER,es,body,1,1,1,1,1
SCOOTER,es,header,1,1,1,1,1
SCOOTER,es,main,1,1,1,1,1
SCOOTER,es,nav,2,2,2,2,2
SCOOTER,es,section,12,12,12,12,12
SCOOTER,es,article,20,20,20,20,20
SCOOTER,es,footer,1,1,1,1,1
SCOOTER,es,form,0,0,0,0,0
SCOOTER,es,table,0,0,0,0,0
SCOOTER,fr,html,1,1,1,1,1
SCOOTER,fr,head,1,1,1,1,1
SCOOTER,fr,body,1,1,1,1,1
SCOOTER,fr,header,1,1,1,1,1
SCOOTER,fr,main,1,1,1,1,1
SCOOTER,fr,nav,2,2,2,2,2
SCOOTER,fr,section,12,12,12,12,12
SCOOTER,fr,article,20,20,20,20,20
SCOOTER,fr,footer,1,1,1,1,1
SCOOTER,fr,form,0,0,0,0,0
SCOOTER,fr,table,0,0,0,0,0
SCOOTER,it,html,1,1,1,1,1
SCOOTER,it,head,1,1,1,1,1
SCOOTER,it,body,1,1,1,1,1
SCOOTER,it,header,1,1,1,1,1
SCOOTER,it,main,1,1,1,1,1
SCOOTER,it,nav,2,2,2,2,2
SCOOTER,it,section,12,12,12,12,12
SCOOTER,it,article,20,20,20,20,20
SCOOTER,it,footer,1,1,1,1,1
SCOOTER,it,form,0,0,0,0,0
SCOOTER,it,table,0,0,0,0,0
SCOOTER,de,html,1,1,1,1,1
SCOOTER,de,head,1,1,1,1,1
SCOOTER,de,body,1,1,1,1,1
SCOOTER,de,header,1,1,1,1,1
SCOOTER,de,main,1,1,1,1,1
SCOOTER,de,nav,2,2,2,2,2
SCOOTER,de,section,12,12,12,12,12
SCOOTER,de,article,20,20,20,20,20
SCOOTER,de,footer,1,1,1,1,1
SCOOTER,de,form,0,0,0,0,0
SCOOTER,de,table,0,0,0,0,0
SCOOTER,nl,html,1,1,1,1,1
SCOOTER,nl,head,1,1,1,1,1
SCOOTER,nl,body,1,1,1,1,1
SCOOTER,nl,header,1,1,1,1,1
SCOOTER,nl,main,1,1,1,1,1
SCOOTER,nl,nav,2,2,2,2,2
SCOOTER,nl,section,12,12,12,12,12
SCOOTER,nl,article,20,20,20,20,20
SCOOTER,nl,footer,1,1,1,1,1
SCOOTER,nl,form,0,0,0,0,0
SCOOTER,nl,table,0,0,0,0,0
SCOOTER,pt,html,1,1,1,1,1
SCOOTER,pt,head,1,1,1,1,1
SCOOTER,pt,body,1,1,1,1,1
SCOOTER,pt,header,1,1,1,1,1
SCOOTER,pt,main,1,1,1,1,1
SCOOTER,pt,nav,2,2,2,2,2
SCOOTER,pt,section,12,12,12,12,12
SCOOTER,pt,article,20,20,20,20,20
SCOOTER,pt,footer,1,1,1,1,1
SCOOTER,pt,form,0,0,0,0,0
SCOOTER,pt,table,0,0,0,0,0
SCOOTER,ca,html,1,1,1,1,1
SCOOTER,ca,head,1,1,1,1,1
SCOOTER,ca,body,1,1,1,1,1
SCOOTER,ca,header,1,1,1,1,1
SCOOTER,ca,main,1,1,1,1,1
SCOOTER,ca,nav,2,2,2,2,2
SCOOTER,ca,section,12,12,12,12,12
SCOOTER,ca,article,20,20,20,20,20
SCOOTER,ca,footer,1,1,1,1,1
SCOOTER,ca,form,0,0,0,0,0
SCOOTER,ca,table,0,0,0,0,0
SCOOTER,sv,html,1,1,1,1,1
SCOOTER,sv,head,1,1,1,1,1
SCOOTER,sv,body,1,1,1,1,1
SCOOTER,sv,header,1,1,1,1,1
SCOOTER,sv,main,1,1,1,1,1
SCOOTER,sv,nav,2,2,2,2,2
SCOOTER,sv,section,12,12,12,12,12
SCOOTER,sv,article,20,20,20,20,20
SCOOTER,sv,footer,1,1,1,1,1
SCOOTER,sv,form,0,0,0,0,0
SCOOTER,sv,table,0,0,0,0,0
SCOOTER,pl,html,1,1,1,1,1
SCOOTER,pl,head,1,1,1,1,1
SCOOTER,pl,body,1,1,1,1,1
SCOOTER,pl,header,1,1,1,1,1
SCOOTER,pl,main,1,1,1,1,1
SCOOTER,pl,nav,2,2,2,2,2
SCOOTER,pl,section,12,12,12,12,12
SCOOTER,pl,article,20,20,20,20,20
SCOOTER,pl,footer,1,1,1,1,1
SCOOTER,pl,form,0,0,0,0,0
SCOOTER,pl,table,0,0,0,0,0
ROLLERBLADES,en,html,1,1,1,1,1
ROLLERBLADES,en,head,1,1,1,1,1
ROLLERBLADES,en,body,1,1,1,1,1
ROLLERBLADES,en,header,1,1,1,1,1
ROLLERBLADES,en,main,1,1,1,1,1
ROLLERBLADES,en,nav,2,2,2,2,2
ROLLERBLADES,en,section,13,13,13,13,13
ROLLERBLADES,en,article,21,21,21,21,21
ROLLERBLADES,en,footer,1,1,1,1,1
ROLLERBLADES,en,form,0,0,0,0,0
ROLLERBLADES,en,table,0,0,0,0,0
ROLLERBLADES,es,html,1,1,1,1,1
ROLLERBLADES,es,head,1,1,1,1,1
ROLLERBLADES,es,body,1,1,1,1,1
ROLLERBLADES,es,header,1,1,1,1,1
ROLLERBLADES,es,main,1,1,1,1,1
ROLLERBLADES,es,nav,2,2,2,2,2
ROLLERBLADES,es,section,13,13,13,13,13
ROLLERBLADES,es,article,21,21,21,21,21
ROLLERBLADES,es,footer,1,1,1,1,1
ROLLERBLADES,es,form,0,0,0,0,0
ROLLERBLADES,es,table,0,0,0,0,0
ROLLERBLADES,fr,html,1,1,1,1,1
ROLLERBLADES,fr,head,1,1,1,1,1
ROLLERBLADES,fr,body,1,1,1,1,1
ROLLERBLADES,fr,header,1,1,1,1,1
ROLLERBLADES,fr,main,1,1,1,1,1
ROLLERBLADES,fr,nav,2,2,2,2,2
ROLLERBLADES,fr,section,13,13,13,13,13
ROLLERBLADES,fr,article,21,21,21,21,21
ROLLERBLADES,fr,footer,1,1,1,1,1
ROLLERBLADES,fr,form,0,0,0,0,0
ROLLERBLADES,fr,table,0,0,0,0,0
ROLLERBLADES,it,html,1,1,1,1,1
ROLLERBLADES,it,head,1,1,1,1,1
ROLLERBLADES,it,body,1,1,1,1,1
ROLLERBLADES,it,header,1,1,1,1,1
ROLLERBLADES,it,main,1,1,1,1,1
ROLLERBLADES,it,nav,2,2,2,2,2
ROLLERBLADES,it,section,13,13,13,13,13
ROLLERBLADES,it,article,21,21,21,21,21
ROLLERBLADES,it,footer,1,1,1,1,1
ROLLERBLADES,it,form,0,0,0,0,0
ROLLERBLADES,it,table,0,0,0,0,0
ROLLERBLADES,de,html,1,1,1,1,1
ROLLERBLADES,de,head,1,1,1,1,1
ROLLERBLADES,de,body,1,1,1,1,1
ROLLERBLADES,de,header,1,1,1,1,1
ROLLERBLADES,de,main,1,1,1,1,1
ROLLERBLADES,de,nav,2,2,2,2,2
ROLLERBLADES,de,section,13,13,13,13,13
ROLLERBLADES,de,article,21,21,21,21,21
ROLLERBLADES,de,footer,1,1,1,1,1
ROLLERBLADES,de,form,0,0,0,0,0
ROLLERBLADES,de,table,0,0,0,0,0
ROLLERBLADES,nl,html,1,1,1,1,1
ROLLERBLADES,nl,head,1,1,1,1,1
ROLLERBLADES,nl,body,1,1,1,1,1
ROLLERBLADES,nl,header,1,1,1,1,1
ROLLERBLADES,nl,main,1,1,1,1,1
ROLLERBLADES,nl,nav,2,2,2,2,2
ROLLERBLADES,nl,section,13,13,13,13,13
ROLLERBLADES,nl,article,21,21,21,21,21
ROLLERBLADES,nl,footer,1,1,1,1,1
ROLLERBLADES,nl,form,0,0,0,0,0
ROLLERBLADES,nl,table,0,0,0,0,0
ROLLERBLADES,pt,html,1,1,1,1,1
ROLLERBLADES,pt,head,1,1,1,1,1
ROLLERBLADES,pt,body,1,1,1,1,1
ROLLERBLADES,pt,header,1,1,1,1,1
ROLLERBLADES,pt,main,1,1,1,1,1
ROLLERBLADES,pt,nav,2,2,2,2,2
ROLLERBLADES,pt,section,13,13,13,13,13
ROLLERBLADES,pt,article,21,21,21,21,21
ROLLERBLADES,pt,footer,1,1,1,1,1
ROLLERBLADES,pt,form,0,0,0,0,0
ROLLERBLADES,pt,table,0,0,0,0,0
ROLLERBLADES,ca,html,1,1,1,1,1
ROLLERBLADES,ca,head,1,1,1,1,1
ROLLERBLADES,ca,body,1,1,1,1,1
ROLLERBLADES,ca,header,1,1,1,1,1
ROLLERBLADES,ca,main,1,1,1,1,1
ROLLERBLADES,ca,nav,2,2,2,2,2
ROLLERBLADES,ca,section,13,13,13,13,13
ROLLERBLADES,ca,article,21,21,21,21,21
ROLLERBLADES,ca,footer,1,1,1,1,1
ROLLERBLADES,ca,form,0,0,0,0,0
ROLLERBLADES,ca,table,0,0,0,0,0
ROLLERBLADES,sv,html,1,1,1,1,1
ROLLERBLADES,sv,head,1,1,1,1,1
ROLLERBLADES,sv,body,1,1,1,1,1
ROLLERBLADES,sv,header,1,1,1,1,1
ROLLERBLADES,sv,main,1,1,1,1,1
ROLLERBLADES,sv,nav,2,2,2,2,2
ROLLERBLADES,sv,section,13,13,13,13,13
ROLLERBLADES,sv,article,21,21,21,21,21
ROLLERBLADES,sv,footer,1,1,1,1,1
ROLLERBLADES,sv,form,0,0,0,0,0
ROLLERBLADES,sv,table,0,0,0,0,0
ROLLERBLADES,pl,html,1,1,1,1,1
ROLLERBLADES,pl,head,1,1,1,1,1
ROLLERBLADES,pl,body,1,1,1,1,1
ROLLERBLADES,pl,header,1,1,1,1,1
ROLLERBLADES,pl,main,1,1,1,1,1
ROLLERBLADES,pl,nav,2,2,2,2,2
ROLLERBLADES,pl,section,13,13,13,13,13
ROLLERBLADES,pl,article,21,21,21,21,21
ROLLERBLADES,pl,footer,1,1,1,1,1
ROLLERBLADES,pl,form,0,0,0,0,0
ROLLERBLADES,pl,table,0,0,0,0,0
