pagina,idioma,ruta,actual,decision,evidencia
04_BIKE,ca,PAGINAS/04_BIKE/cat/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 136, ""code"": ""\""dateModified\"": \""2026-07-30\""""}, {""line"": 481, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
04_BIKE,de,PAGINAS/04_BIKE/de/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 137, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 489, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
04_BIKE,en,PAGINAS/04_BIKE/en/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 170, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 556, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
04_BIKE,es,PAGINAS/04_BIKE/es/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 167, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 550, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
04_BIKE,fr,PAGINAS/04_BIKE/fr/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 137, ""code"": ""\""dateModified\"": \""2026-07-30\""""}, {""line"": 481, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
04_BIKE,it,PAGINAS/04_BIKE/it/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 136, ""code"": ""\""dateModified\"": \""2026-07-30\""""}, {""line"": 481, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
04_BIKE,nl,PAGINAS/04_BIKE/nl/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 150, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 497, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
04_BIKE,pl,PAGINAS/04_BIKE/pl/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 170, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 556, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
04_BIKE,pt,PAGINAS/04_BIKE/pt/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 150, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 497, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
04_BIKE,sv,PAGINAS/04_BIKE/sv/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 150, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 497, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,ca,PAGINAS/06_QUADS/cat/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 151, ""code"": ""\""dateModified\"": \""2026-07-30\""""}, {""line"": 518, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,de,PAGINAS/06_QUADS/de/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 152, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 526, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,en,PAGINAS/06_QUADS/en/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 184, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 591, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,es,PAGINAS/06_QUADS/es/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 180, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 585, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,fr,PAGINAS/06_QUADS/fr/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 151, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 519, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,it,PAGINAS/06_QUADS/it/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 151, ""code"": ""\""dateModified\"": \""2026-07-30\""""}, {""line"": 518, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,nl,PAGINAS/06_QUADS/nl/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 164, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 535, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,pl,PAGINAS/06_QUADS/pl/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 184, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 591, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,pt,PAGINAS/06_QUADS/pt/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 164, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 535, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
06_QUADS,sv,PAGINAS/06_QUADS/sv/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 164, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 535, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,ca,PAGINAS/07_SKATEBOARD/cat/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 136, ""code"": ""\""dateModified\"": \""2026-07-30\""""}, {""line"": 503, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,de,PAGINAS/07_SKATEBOARD/de/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 137, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 511, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,en,PAGINAS/07_SKATEBOARD/en/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 169, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 569, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,es,PAGINAS/07_SKATEBOARD/es/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 166, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 563, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,fr,PAGINAS/07_SKATEBOARD/fr/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 137, ""code"": ""\""dateModified\"": \""2026-07-30\""""}, {""line"": 504, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,it,PAGINAS/07_SKATEBOARD/it/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 136, ""code"": ""\""dateModified\"": \""2026-07-30\""""}, {""line"": 503, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,nl,PAGINAS/07_SKATEBOARD/nl/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 150, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 520, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,pl,PAGINAS/07_SKATEBOARD/pl/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 169, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 577, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,pt,PAGINAS/07_SKATEBOARD/pt/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 150, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 520, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
07_SKATEBOARD,sv,PAGINAS/07_SKATEBOARD/sv/index.html,2026-07-30 / 2026-08-24,"Conservar una única fecha real de última modificación, pendiente de registro editorial. No elegir automáticamente la más reciente.","[{""line"": 150, ""code"": ""\""dateModified\"": \""2026-07-30\"",""}, {""line"": 520, ""code"": ""\""dateModified\"": \""2026-08-24\""""}]"
08_LONGBOARD,ca,PAGINAS/08_LONGBOARD/cat/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 137, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 504, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
08_LONGBOARD,de,PAGINAS/08_LONGBOARD/de/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 138, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 512, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
08_LONGBOARD,en,PAGINAS/08_LONGBOARD/en/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 170, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 570, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
08_LONGBOARD,es,PAGINAS/08_LONGBOARD/es/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 167, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 564, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
08_LONGBOARD,fr,PAGINAS/08_LONGBOARD/fr/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 137, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 504, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
08_LONGBOARD,it,PAGINAS/08_LONGBOARD/it/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 137, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 504, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
08_LONGBOARD,nl,PAGINAS/08_LONGBOARD/nl/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 151, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 521, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
08_LONGBOARD,pl,PAGINAS/08_LONGBOARD/pl/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 170, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 578, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
08_LONGBOARD,pt,PAGINAS/08_LONGBOARD/pt/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 151, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 521, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
08_LONGBOARD,sv,PAGINAS/08_LONGBOARD/sv/index.html,"[""2026-07-30"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 151, ""json_block"": 1, ""json_path"": ""$.@graph[2].dateModified"", ""code"": ""\""2026-07-30\""""}, {""line"": 521, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,ca,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/cat/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,de,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/de/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,en,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/en/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,es,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/es/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 372, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 475, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,fr,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/fr/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,it,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/it/index.html,"[""2026-07-27"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-27\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,nl,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/nl/index.html,"[""2026-07-27"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-27\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,pl,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/pl/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,pt,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/pt/index.html,"[""2026-07-27"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-27\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
12_BLOG_BEGINNER_INLINE_SKATING,sv,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/sv/index.html,"[""2026-07-27"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-27\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,ca,PAGINAS/14_BLOG_BIKE/cat/index.html,"[""2026-07-27"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 353, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-27\""""}, {""line"": 449, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,de,PAGINAS/14_BLOG_BIKE/de/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 351, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 443, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,en,PAGINAS/14_BLOG_BIKE/en/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 367, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 471, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,es,PAGINAS/14_BLOG_BIKE/es/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 361, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 468, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,fr,PAGINAS/14_BLOG_BIKE/fr/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 354, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 452, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,it,PAGINAS/14_BLOG_BIKE/it/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 353, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 449, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,nl,PAGINAS/14_BLOG_BIKE/nl/index.html,"[""2026-06-29"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 364, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-06-29\""""}, {""line"": 458, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,pl,PAGINAS/14_BLOG_BIKE/pl/index.html,"[""2026-07-27"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 367, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-27\""""}, {""line"": 471, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,pt,PAGINAS/14_BLOG_BIKE/pt/index.html,"[""2026-07-27"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 364, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-27\""""}, {""line"": 458, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
14_BLOG_BIKE,sv,PAGINAS/14_BLOG_BIKE/sv/index.html,"[""2026-07-27"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 364, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-27\""""}, {""line"": 458, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
15_BLOG_HOURLY_INLINE_SKATE_RENTAL,ca,PAGINAS/15_BLOG_HOURLY_INLINE_SKATE_RENTAL/cat/index.html,"[""2026-07-26"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-26\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
15_BLOG_HOURLY_INLINE_SKATE_RENTAL,de,PAGINAS/15_BLOG_HOURLY_INLINE_SKATE_RENTAL/de/index.html,"[""2026-07-26"", ""2026-08-24""]",Un valor real de última modificación; pendiente de fuente.,"[{""line"": 378, ""json_block"": 1, ""json_path"": ""$.@graph[4].dateModified"", ""code"": ""\""2026-07-26\""""}, {""line"": 482, ""json_block"": 2, ""json_path"": ""$.@graph[0].dateModified"", ""code"": ""\""2026-08-24\""""}]"
